regime,alpha,abs_delta,abs_error,Seed,Index
0,0.350616455078125,0.12433910369873047,0.0473400354385376,123,188
0,0.3684154152870178,0.06352567672729492,0.09992468357086182,123,189
0,0.4097760319709778,0.0376051664352417,0.05606049299240112,123,190
0,0.46166759729385376,0.015145011246204376,0.008332468569278717,123,191
0,0.4920521080493927,0.0017625093460083008,0.007234156131744385,123,192
0,0.5072038173675537,0.040659427642822266,0.018194079399108887,123,193
0,0.5044916868209839,0.06463271379470825,0.09176933765411377,123,194
0,0.46322816610336304,0.07085689902305603,0.033704496920108795,123,195
0,0.3708082437515259,0.15500521659851074,0.13006174564361572,123,196
0,0.34855926036834717,0.04503130912780762,0.03713226318359375,123,197
0,0.3692862391471863,0.03381538391113281,0.007142305374145508,123,198
0,0.4170517325401306,0.07559388875961304,0.0030199289321899414,123,199
0,0.40892133116722107,0.10607229173183441,0.01479831337928772,456,0
0,0.42739954590797424,0.048761069774627686,0.04849708080291748,456,1
0,0.4311261773109436,0.07132792472839355,0.069091796875,456,2
0,0.42894870042800903,0.05350834131240845,0.10238146781921387,456,3
0,0.38917726278305054,0.1795024871826172,0.08168627321720123,456,4
0,0.2980336844921112,0.11241400241851807,0.0879220962524414,456,5
0,0.2734137177467346,0.032245516777038574,0.13262557983398438,456,6
0,0.2880247235298157,0.16250836849212646,0.12378644943237305,456,7
